SECTOR,YEAR,MONTH,CEREALS_AND_PRODUCTS,MEAT_AND_FISH,EGG,MILK_AND_PRODUCTS,OILS_AND_FATS,FRUITS,VEGETABLES,PULSES_AND_PRODUCTS,SUGAR_AND_CONFECTIONERY,SPICES,NON-ALCOHOLIC_BEVERAGES,PREPARED_MEALS__SNACKS__SWEETS_ETC.,FOOD_AND_BEVERAGES,PAN__TOBACCO_AND_INTOXICANTS,CLOTHING,FOOTWEAR,CLOTHING_AND_FOOTWEAR,HOUSING,FUEL_AND_LIGHT,HOUSEHOLD_GOODS_AND_SERVICES,HEALTH,TRANSPORT_AND_COMMUNICATION,RECREATION_AND_AMUSEMENT,EDUCATION,PERSONAL_CARE_AND_EFFECTS,MISCELLANEOUS,GENERAL_INDEX
Rural+Urban,2013,November,118.1,115.4,118.7,112.5,106.8,113.5,183.1,108.2,102.2,109.4,111.8,116.5,122.6,113.1,114.2,111.9,113.8,111.1,111.6,111.1,109.3,109.5,108.6,111.2,108.1,109.7,116.3
Rural+Urban,2013,December,119.1,116.7,123.5,113.4,107.3,113.3,145.4,108.7,101.5,110.5,112.1,117.4,118.4,114,115.2,112.7,114.8,110.7,111.9,111.7,109.7,109.8,109,111.5,107.9,110,114.5
Rural+Urban,2014,January,119.6,118.8,124.1,114.1,106.8,113.9,122.2,108.9,100.2,111,112.3,118.1,115.8,114.5,115.8,113.2,115.4,111.6,112.2,112.3,110.3,110.7,109.7,111.6,108.2,110.6,113.6
Rural+Urban,2014,February,120.2,119.2,122.5,115.1,106.6,115.4,114.5,109.3,99.2,111.4,112.6,118.8,115.3,114.7,116.4,113.3,115.9,112.5,112.4,112.8,110.7,111.1,110.1,111.8,108.7,110.9,113.6
Rural+Urban,2014,Marcrh,120.7,119.3,121,116.1,106.9,118.7,116.3,109.8,99.6,111.8,112.7,119.3,116.1,115.2,116.8,113.7,116.4,113.2,112.5,113.2,111.2,111.4,110.6,112,109,111.3,114.2
Rural+Urban,2014,April,120.9,119.9,116.2,117,107.3,126.1,120.7,111,101.8,112.6,113.2,119.8,117.6,116,117.4,114.6,117,113.9,112.5,113.6,111.5,111.2,110.9,112.7,109,111.5,115.1
Rural+Urban,2014,May,121.1,121.6,115.9,118.4,107.7,127.7,125,111.9,102.8,113.4,113.7,120.4,118.9,116.8,118,115.2,117.6,114.3,112.5,114.1,111.8,111.3,111.2,113,109.1,111.8,115.8
Rural+Urban,2014,June,121.5,123.1,115.8,119.7,107.8,128.3,132.1,112.4,102.9,114.3,114.2,121.2,120.4,117.8,118.8,115.6,118.3,113.9,113.2,114.6,112.3,111.8,111.6,114.8,108.3,112.3,116.7
Rural+Urban,2014,July,122.4,123.9,117.8,121,107.9,131.2,157.7,113.2,104.1,115.5,114.8,122.1,124.7,118.8,119.6,116.3,119.1,114.8,113.9,115.2,112.7,113.1,112.1,116.8,109.2,113.3,119.2
Rural+Urban,2014,August,122.7,124.4,117.3,122,108,131.1,168.2,114.5,104.3,117.1,115.2,123.1,126.6,119.9,120,116.8,119.6,115.5,114,115.6,113.3,112.8,112.6,118,109.9,113.7,120.3
Rural+Urban,2014,September,122.9,123.5,117.3,122.7,107.9,127.3,162.1,115.6,103.8,117.6,115.8,123.8,125.8,120.8,120.7,117.2,120.1,116.1,114.3,116.1,113.7,112,113.1,118.6,109.5,113.7,120.1
Rural+Urban,2014,October,123.2,123.8,118.1,123.2,107.9,126.4,156.8,116.1,103.1,118.1,116.1,124.5,125.4,121.1,121.5,118.1,121,116.7,114.7,116.7,114.3,111.8,113.3,118.8,109.6,113.9,120.1
Rural+Urban,2014,November,123.3,123.7,121,124.2,107.8,125.7,152.4,117.2,102.1,118.7,116.4,125.6,125.1,122.1,122.1,118.4,121.6,117.1,115.5,117.3,114.8,110.8,113.7,119,109.1,113.8,120.1
Rural+Urban,2014,December,122.9,123.2,123.5,124.5,107.6,125.7,140.5,117.6,100.6,119.1,116.8,126.1,123.6,123,122.6,118.6,122,116.5,115.7,117.5,115.1,110.1,113.9,119.5,109.8,113.8,119.4
Rural+Urban,2015,January,123.4,123.9,123.8,125,108.5,126.2,133,119.1,99,120.3,117.3,126.7,123.1,124,123.1,119.3,122.5,117.3,116.5,118.1,115.5,109.4,114.3,119.7,110.7,114,119.5
Rural+Urban,2015,February,123.7,125.1,121.1,125.7,109.1,125.8,129.4,120.9,98.3,121.6,118,127.6,123.1,125.2,123.8,120.1,123.3,118.1,117.7,118.7,116.3,108.7,114.9,119.7,111.2,114.1,119.7
Rural+Urban,2015,March,123.5,125.4,116.8,126,109.2,127.6,129.2,122.4,97,122.1,118.1,128.4,123.4,125.8,124.3,120.4,123.7,118.6,118.3,119.2,116.7,109.9,115.4,120.1,111,114.7,120.2
Rural+Urban,2015,April,123.5,126.4,114.4,126.6,109.2,132.5,128.6,124.8,95.7,122.4,118.5,129.1,124,126.9,124.7,120.8,124.1,119.2,118.7,119.7,117.1,110.1,115.9,121,111.7,115.1,120.7
Rural+Urban,2015,May,123.6,128,115,127.3,109.8,132.6,130.9,130.5,95.3,123.4,119.2,129.8,125,127.9,125.4,121.3,124.7,119.6,119.2,120.2,117.7,112,116.3,121.4,112.3,116.1,121.6
Rural+Urban,2015,June,123.9,131.8,121.6,128.2,111.1,132.8,139.1,137.4,94.1,125.5,119.8,130.9,127.3,129.2,126.4,122,125.7,119,119.8,121.1,118.5,112.9,116.9,123.1,112.8,117,123
Rural+Urban,2015,July,123.7,132.5,121,128.3,110.9,133.1,145.1,139.1,91.3,126.1,119.9,131.4,128.2,130.4,126.7,122.3,126.1,119.9,120.1,121.3,119,112.7,117.2,124.4,112.3,117.2,123.6
Rural+Urban,2015,August,124.2,131.4,120.1,128.5,111.4,132.3,157.6,144,90.5,126.8,120.4,132.1,130.3,131.2,127.2,122.9,126.6,120.9,120.6,122,119.4,111.7,117.8,125.1,112.3,117.2,124.8
Rural+Urban,2015,September,124.6,130.4,118.7,128.9,111.9,128.4,162.2,150,90.4,128.4,120.7,132.5,131.2,132,127.9,123.4,127.2,121.6,120.4,122.6,119.8,111.3,118.3,125.7,113.4,117.5,125.4
Rural+Urban,2015,October,125,129.8,118.9,129.1,113.3,129,160.4,165.3,92.3,129.7,121.1,133,132.1,132.5,128.5,123.8,127.8,122.4,120.8,123,120.4,111.4,118.7,125.9,113.9,117.9,126.1
Rural+Urban,2015,November,125.4,130.3,121.6,129.2,114.9,128.2,158.4,171.2,93.3,131.2,121.7,134,132.7,133.6,129.3,124.5,128.6,122.9,121.6,123.4,120.9,111.5,119.2,126.3,113.8,118.1,126.6
Rural+Urban,2015,December,125.7,131.4,124.8,129.4,115.3,126.6,146.7,171.5,94.5,132.1,122,134.7,131.4,134.5,129.7,124.8,129,122.4,122,123.6,121.4,111.5,119.6,126.2,113.7,118.3,126.1
Rural+Urban,2016,January,126.1,134.1,128.6,129.9,115.5,125.7,141.5,170.7,97.4,132.9,122.7,135.3,131.3,135.2,130.3,125.1,129.5,123.4,122.7,124.2,122,111.1,119.8,126.3,114.5,118.5,126.3
Rural+Urban,2016,February,126.4,134.2,128.7,130.3,114.8,124.9,130.3,167.4,98.8,133.6,123,135.8,129.9,135.9,130.9,125.8,130.2,124.4,123.1,124.6,122.5,111.4,120.3,126.6,116.6,119.1,126
Rural+Urban,2016,March,126.5,135.1,124.6,130.2,114.5,126.2,129.8,164.3,100.9,133.9,123.1,136.3,129.8,136.5,131.3,126.1,130.5,124.9,122.4,125.1,122.9,110.9,120.6,126.9,117.3,119.3,126
Rural+Urban,2016,April,126.6,136.8,122,130.9,114.8,134.8,135,167.5,106.4,134.4,123.6,136.7,131.8,137.1,131.8,126.4,131,125.6,122.3,125.5,123.2,112.1,121.1,127.7,118.1,120,127.3
Rural+Urban,2016,May,126.8,139.1,125.4,131.7,115,136,145.1,171.7,108.7,135.3,124.2,137.4,134,137.7,132.2,126.8,131.4,126,122.7,126,123.7,112.8,121.5,128.5,119.2,120.7,128.6
Rural+Urban,2016,June,127.7,140.5,128.3,132.6,115.5,136.5,159.7,174.3,109.9,136.3,124.4,138.1,136.8,138.7,132.9,127.2,132,125.5,123.3,126.4,124.1,114.2,121.7,129.7,119.4,121.5,130.1
Rural+Urban,2016,July,128.5,141.2,132.3,133.5,116.4,137.8,165.4,177.4,111.3,137.5,125,138.8,138.4,139.3,133.5,127.6,132.7,126.4,123.4,126.9,124.5,113.9,122.4,130.8,120.5,121.9,131.1
Rural+Urban,2016,August,129.3,139.3,131.6,134.1,116.9,138.1,159.1,175.6,112.9,138.1,125.5,139.5,137.9,140.2,134.1,128.2,133.2,127.3,123.6,127.4,124.8,113.1,122.7,131.7,121.5,122.1,131.1
Rural+Urban,2016,September,129.9,138,130.5,134.4,117.2,136.1,150.7,171.5,113.8,138.8,126,140.2,136.6,141,134.6,128.6,133.8,127.9,124.1,127.9,125.4,114.3,122.9,131.8,122.1,122.8,130.9
Rural+Urban,2016,October,130.5,137.9,130.2,134.8,117.8,134.7,151.2,172.1,114.1,139.3,126.1,141.1,137,141.8,135.5,129.1,134.5,128.7,124.3,128.4,126.1,115.2,123.5,132.4,122.1,123.4,131.4
Rural+Urban,2016,November,131.4,137.8,132,135,118,134.1,141.9,171.7,114.1,139.7,126.2,141.8,136.1,142,135.8,129.3,135,129.1,125,128.6,126.4,115.7,124,132.8,122.6,123.8,131.2
Rural+Urban,2016,December,132.3,137.6,132.9,135.1,118.6,132.7,125.3,168.7,114.4,140.2,126.6,142.3,134,143.1,136.3,129.8,135.4,128.5,126.6,129.2,126.9,116,124.2,133.1,121.1,123.9,130.4
Rural+Urban,2017,January,132.8,138.2,132.2,135.4,119.1,133,119.4,159.5,115.6,139.6,126.6,142.8,133.1,143.8,136.6,130.2,135.6,129.6,126.8,129.4,127.1,117,124.2,133.3,121.7,124.4,130.3
Rural+Urban,2017,February,133.1,138.8,129.3,135.8,119.2,135.3,119.5,152.2,117.3,138.7,126.9,143.2,133,144.4,136.8,130.3,135.9,130.5,127.9,129.7,127.4,117.4,124.6,133.4,122.6,124.8,130.6
Rural+Urban,2017,March,133.3,139,128.6,136.3,118.8,138.3,120.5,143.9,118,137.9,127.2,144,133.1,145.1,137.3,130.6,136.4,131.1,129.1,130.1,127.8,117.6,125,133.8,122.6,125.1,130.9
Rural+Urban,2017,April,133,139.4,126.1,137.2,118.4,139.9,123.4,140.9,118.5,136.5,127.4,144.2,133.5,145.4,138,131.1,137,131.7,129.8,130.4,128.1,116.6,125.1,134.5,123.1,125.1,131.1
Rural+Urban,2017,May,132.9,141.6,126.3,137.7,118.1,137.9,125.6,138.3,119.4,136,127.6,144.5,133.7,146.2,138.2,131.4,137.2,132.1,129.4,130.9,128.4,116.7,125.7,134.8,123,125.3,131.4
Rural+Urban,2017,June,133.3,145.5,128.1,138.1,118.2,139.2,133.3,136.2,119.6,135.3,127.8,144.9,135.2,146.5,138.5,131.7,137.5,131.4,128.8,131.2,128.5,116.5,125.9,135.4,123.4,125.5,132
Rural+Urban,2017,July,133.6,145.7,129.6,138.5,118.1,141.8,159.5,133.6,120.5,135.2,128.5,145.8,139,148.2,139.3,132.1,138.3,132.6,129.4,131.9,129.4,116,126.6,136.8,123.6,125.9,134.2
Rural+Urban,2017,August,134.3,143.4,129.3,139,118.1,145.5,168.6,132.7,121.2,135.6,128.7,146.8,140.6,149.8,140.3,133,139.3,134.4,129.8,132.8,130.2,117.3,127.3,137.6,124.5,126.8,135.4
Rural+Urban,2017,September,134.7,142.4,130.2,139.6,118.4,143,156.6,132.9,121.5,135.6,128.8,147.3,139,150.8,141.1,133.4,140,135.7,131,133.3,130.6,118.3,127.9,137.4,125.7,127.5,135.2
Rural+Urban,2017,October,135.3,142.2,131.2,140.6,119,141.5,162.6,132.3,121.8,136.3,128.7,148.1,140.1,151.6,142,134.1,140.8,137.3,132.2,133.6,131.3,117.8,128.4,137.9,126.2,127.7,136.1
Rural+Urban,2017,November,135.7,142.4,142.9,140.8,119.2,142.2,173.8,131.2,123,136.8,129.2,148.9,142.1,153.2,143,134.8,141.8,138.6,135.3,134.4,132.6,118.3,128.9,138.6,126.8,128.4,137.6
Rural+Urban,2017,December,135.8,143.3,145.2,141,120.5,141.5,161.7,129.1,121.5,137.1,128.8,149,140.5,154.2,143.1,135.1,142,139.1,136.6,134.7,133.1,118.5,129,138.5,126.5,128.6,137.2
Rural+Urban,2018,January,136,144.2,143.7,141.1,120.7,141.3,151.6,127.3,118.8,137.5,129,149.5,139.2,154.7,143.5,135.5,142.3,140.4,136.6,134.9,133.3,119.3,129.7,139,127.3,129.1,136.9
Rural+Urban,2018,February,135.9,143.5,140.3,140.9,120.4,142.9,140.5,125.8,117.1,137.3,128.6,149.6,137.6,154.9,143.8,135.6,142.6,141.3,136.7,135.2,133.8,120.2,129.9,139,127.7,129.6,136.4
Rural+Urban,2018,March,136.2,143.6,138.3,141.2,120.7,146.2,134.6,124.6,116.1,137.8,129.1,150.4,137.2,156.3,144.3,136.2,143.1,142,136.5,135.6,134.3,121,130.4,139.8,128.2,130.3,136.5
Rural+Urban,2018,April,136.4,144.4,133.9,141.6,121,153.5,132.6,123.5,113.7,138.2,129.6,151.2,137.5,156.9,145.3,136.7,144,142.9,136.5,136.6,135.2,121.9,131.3,141.4,129.2,131.3,137.1
Rural+Urban,2018,May,136.6,146.6,133.6,142.1,121,154.6,135.6,122.3,109.6,138.1,129.9,151.7,138.1,157.9,146,137.4,144.7,143.2,136.9,137.4,136,122.9,131.8,142.1,129.9,132.1,137.8
Rural+Urban,2018,June,136.9,148.7,135.6,142.3,121.3,153.2,143.7,121.4,111.1,138.4,130.3,151.8,139.4,158.3,146.4,138.1,145.2,142.5,138.1,137.9,136.2,123.7,132.6,142.8,130.1,132.6,138.5
Rural+Urban,2018,July,137.5,149.1,139.2,142.5,121.4,151.6,155.9,121.7,113.5,138.9,130.3,152.3,141.4,157.5,146.8,138.4,145.6,143.6,139.7,138.6,137,123.6,133.1,144.7,130.1,133.2,139.8
Rural+Urban,2018,August,138.3,148,138.1,142.6,122.2,150.6,156.6,122.4,114.7,139.4,131.1,153,141.7,157.9,147.3,138.8,146.1,144.6,140.9,139.4,137.7,124.3,133.6,146,130.1,133.9,140.4
Rural+Urban,2018,September,138.6,145.8,135.1,142.9,122.1,145.4,150,121.4,113.7,139.5,130.8,153.8,140.4,159.2,147.7,139.1,146.5,145.3,142.3,139.7,138.4,126,134.5,146.2,130.9,134.7,140.2
Rural+Urban,2018,October,137.4,149.5,137.3,141.9,121.1,142.5,146.7,119.1,111.9,141,133.6,154.5,139.7,162.6,148,139.2,146.8,146.9,145.3,142.2,142.1,125.5,136.5,147.8,132,136.3,140.8
Rural+Urban,2018,November,137.4,149.2,137.1,141.8,121.1,142.8,146.7,119.1,111.9,140.9,133.5,154.5,139.7,162.6,148,139.1,146.7,146.9,145.1,142.2,142.1,125.5,136.5,147.8,132,136.3,140.8
Rural+Urban,2018,December,137.5,150.5,138.8,142.1,122,139.4,135.2,119.8,110.3,140.6,133.8,154.6,138.2,163,148.1,139.4,146.8,146.5,142.7,143.2,144.9,123.6,136.8,150.1,132.2,136.8,140.1
Rural+Urban,2019,January,137.1,151.4,140.2,142.1,121.8,135.4,131.3,120.3,109.1,139.4,133.3,154.6,137.4,163.2,147.6,139,146.4,147.7,139.5,143.6,145.1,123.3,136.7,150.2,132.8,136.9,139.6
Rural+Urban,2019,February,137.6,152,141.5,142.2,122,136.4,129.7,121,109,139.7,133.6,154.9,137.5,163.4,147.7,139.7,146.5,148.5,138.4,143.7,145.6,123.9,137.1,150.3,134.1,137.4,139.9
Rural+Urban,2019,March,137.8,153,140.3,142.3,122,137.6,132.6,121.8,109,139.5,133.7,155.2,138.1,163.5,147.9,139.9,146.7,149,139.7,143.8,146.2,124.6,137.7,150.3,133.4,137.7,140.4
Rural+Urban,2019,May,138.3,158.5,136,142.5,122,146.5,143,124.9,109.9,139.9,134,155.5,140.9,164.1,148.4,140.4,147.3,150.1,140.3,143.7,146.9,124.9,139.2,151.6,133.4,138.2,142
Rural+Urban,2019,June,138.7,162.1,137.8,143.3,122.2,146.8,150.5,128.3,111,140.6,134.2,155.9,142.7,164.9,148.6,140.4,147.4,149.4,141.2,143.8,147.4,124.6,139.6,152.5,134.3,138.6,142.9
Rural+Urban,2019,July,139.3,162.7,140,144,122.5,150.3,160.3,130,111.1,141.7,134.7,156.2,144.7,165.2,148.9,140.5,147.6,150.6,139.3,144.2,147.9,125.6,140.5,154,135.7,139.5,144.2
Rural+Urban,2019,August,140.1,160.6,138.5,144.7,122.9,149.4,167.4,130.9,112,142.6,134.9,156.6,145.9,165.8,149.1,140.6,147.9,151.6,138.5,144.5,148.5,125.8,140.9,154.9,138.4,140.2,145
Rural+Urban,2019,September,140.9,160.8,139.6,145.4,123.5,146.6,173.2,131.6,113.2,144.1,135,156.8,147,166.5,149.2,140.6,147.9,152.2,139.2,144.6,149,126.1,141.3,155.2,139.7,140.7,145.8
Rural+Urban,2019,October,141.8,161,142.6,146.2,123.9,148,188.4,132.5,114,145.4,135.1,157.1,149.6,167.1,149.4,140.8,148.2,153,140.6,145,149.4,126.3,141.7,155.4,140,141,147.2
Rural+Urban,2019,November,142.5,163.2,145.6,146.7,124.3,147.4,199.6,135.7,114.2,147,135.3,157.5,151.9,167.9,149.9,141,148.6,153.5,142.3,145.3,149.9,126.6,142.1,155.5,140.3,141.3,148.6
Rural+Urban,2019,December,143.5,165,151.1,148.3,125.7,145.7,217,138.3,114,148.7,135.8,158,155,168.5,150.3,141.3,149,152.8,143.7,145.8,150.4,129.8,142.3,155.7,140.4,142.5,150.4
Rural+Urban,2020,January,144.3,167.4,154.9,150.1,129.9,143.2,197,140.4,114.1,150.9,136.1,158.6,153.5,169.2,150.5,141.5,149.2,153.9,144.6,146.2,151.2,130.9,142.8,156.1,142.3,143.4,150.2
Rural+Urban,2020,February,144.8,167.5,151.8,150.8,131.4,141.8,170.7,141.1,113.6,152,136.5,159.1,150.5,170.1,150.8,141.7,149.5,154.8,147.2,146.4,151.7,130.3,143.2,156.2,143.4,143.6,149.1
Rural+Urban,2020,March,145.1,167,148.1,151.5,131.2,142.5,157.3,141.1,113.2,153.2,136.7,159.6,148.9,171.2,151.2,141.9,149.8,154.5,148.9,146.4,152.3,129.9,143.7,156.1,145.2,143.8,148.6
Rural+Urban,2020,April,148.7,NA,148.8,155.6,135.1,149.9,168.6,150.4,120.3,157.1,136.8,NA,151.4,NA,NA,NA,NA,155.6,144.1,NA,150.7,NA,NA,NA,NA,NA,NA
Rural+Urban,2020,May,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rural+Urban,2020,June,149.6,192.7,151.4,153.3,136.3,147.2,156.5,150.9,114.2,159.5,139.4,161.8,154,183.5,152.5,144.4,151.4,154.7,141.9,146.4,154.4,135,148.3,156.4,151.6,147,151.8
Rural+Urban,2020,July,149.6,192.7,151.4,153.3,136.3,147.2,156.5,150.9,114.2,159.5,139.4,161.8,154,183.5,152.5,144.4,151.4,154.7,141.9,146.4,154.4,135,148.3,156.4,151.6,147,151.8
Rural+Urban,2020,August,148.9,190.9,150.8,153.3,137.4,150.4,178.1,150.4,115.1,160,140.6,162.3,157,182.6,153.1,143.4,151.7,155.5,143,148.4,155,138.5,146,158.5,154.3,149,153.9
Rural+Urban,2020,September,148.4,187.1,152.5,153.6,138.2,150.9,186.7,149.8,116.4,160.3,142.2,162.9,158,184.4,153.4,144.3,152,156.3,142.9,148.7,155.6,139.6,146.6,157.5,158.4,150,154.7
Rural+Urban,2020,October,147.5,188.9,161.4,153.6,140.1,151.2,209.2,150.9,116.2,161,144,163.2,161.4,184.3,153.7,144.6,152.3,156.5,143.1,148.7,156.3,140.6,146.5,158.5,157,150.4,156.4
Rural+Urban,2020,November,146.8,191,173.6,153.8,142.7,148.4,230,156.8,115.7,161.8,146.5,163.8,164.7,184.8,154.3,144.9,152.8,158,143.6,149.2,157.2,140.4,148.4,158.6,156.9,150.7,158.4
Rural+Urban,2020,December,146,191,175.3,154.1,146.6,147.7,230.5,160.2,115.3,163,149.2,164.8,165.4,185.4,155,145.4,153.6,158.4,144.6,149.7,158.3,140.7,148.5,159.4,157.1,151.2,158.9
Rural+Urban,2021,January,144.9,190.1,175.3,154.1,150.9,149.6,194.2,160.4,114.6,164,151.8,165.6,161,186.5,155.5,146.1,154.2,157.7,147.9,150,159.3,141.9,149.6,159.2,156.8,151.9,157.3
Rural+Urban,2021,February,144.3,186.5,168.7,154.7,158.7,150.7,160,158.8,112.8,164.2,155.5,167.5,156.9,188.3,157.2,147.4,155.8,159.8,152.4,150.9,161.3,145.1,151.5,159.5,155.8,153.4,156.6
Rural+Urban,2021,March,144.1,192.2,163.8,154.9,163.9,153.7,149.5,159.8,112.6,163.5,156.5,168.2,156.7,188.1,157.8,147.9,156.4,159.9,155.5,151.2,161.7,146.2,152.6,160.2,153.8,153.8,156.8
Rural+Urban,2021,April,144.3,198,164.6,155.4,170.1,164.4,144.1,161.7,113.1,163.9,157.6,168.9,158,188.8,158.8,148.5,157.3,161.4,155.6,151.8,162.3,146.6,153.2,160.3,155.4,154.4,157.8
Rural+Urban,2021,May,146.3,200.5,170.3,156.1,178.7,167.1,147.9,165.4,114.8,168.2,159.3,170.4,160.7,191.9,161.8,152.1,160.4,161.6,159.4,154.7,165.8,148.9,155.8,161.2,158.6,156.8,160.4
Rural+Urban,2021,June,146.7,202,180.7,156.2,183.7,164.6,155.4,166,115.1,168.5,160,172.4,162.6,190.8,162.2,151.8,160.7,160.5,159.8,154.8,166.3,150.7,154.9,161.7,158.8,157.6,161.3
Rural+Urban,2021,July,146.4,206.8,182.2,157.5,182.1,163.9,164.2,164,114.5,168.3,160.9,172.2,164,191.2,162.8,153.1,161.4,161.5,160.7,155.8,167,153.1,155.3,163.2,160.1,159,162.5
Rural+Urban,2021,August,146.6,204,172.8,158.4,188,156.8,162.2,164.1,119.7,168.8,162.7,173.9,164,192.1,164.5,155.3,163.2,162.1,162.6,157.5,168.4,154,157.6,163.8,160,160,163.2
Rural+Urban,2021,September,146.6,204,172.8,158.4,188,156.7,162.3,164.1,119.7,168.8,162.7,173.9,164,192.1,164.6,155.3,163.3,162.1,162.6,157.5,168.4,154,157.7,163.7,160,160,163.2
Rural+Urban,2021,October,147.4,204.6,171.2,158.7,190.6,155.7,185.3,165.2,121.9,169.3,163.2,174.7,167.7,192.7,165.7,156.3,164.3,163.6,164.2,158.4,169.1,155.7,158.6,163.9,160.8,161,165.5
Rural+Urban,2021,November,148.2,201.6,173,159.3,190.1,156.5,199.2,165.3,122.4,169.6,163.7,175.5,169.7,192.9,167.2,157.4,165.8,164.2,163.9,159.3,169.9,154.8,159.8,164.3,162.2,161.4,166.7
Rural+Urban,2021,December,148.7,198.8,177.9,159.9,187.6,154.9,188.3,164.4,121,170.5,164.2,176.5,168.2,192.4,168.5,158.7,167,163.4,164.1,160.2,170.6,155.7,160.6,164.4,162.6,162,166.2
Rural+Urban,2022,January,149.5,198.7,178.8,160.5,184.7,153.7,174.3,163.9,120,172.1,164.3,177.3,166.4,192.2,169.9,160.7,168.5,164.5,164.2,161.1,171.4,156.5,161.2,164.7,163,162.7,165.7
Rural+Urban,2022,February,150,200.6,175.8,160.7,184.9,153.7,169.7,163.7,118.9,174.3,164.7,178,166.2,192.8,170.8,162.4,169.6,165.5,165.7,161.8,172.2,156.9,162.1,165.4,164.4,163.5,166.1
Rural+Urban,2022,March,151.3,210.7,167.8,162.2,194.6,157.6,166.9,163.9,118.8,177.4,165.3,179.3,168.4,193.7,172.1,164.6,171.1,165.3,167.2,162.8,173,157.9,163.3,166,167.2,164.6,167.7
Rural+Urban,2022,April,152.9,211.8,164.5,163.9,199.5,172.6,166.2,164.7,119,181.3,166.2,180.9,170.8,193.9,173.9,166.5,172.8,167,172.2,164,174,162.6,164.4,166.9,168.8,166.8,170.1
Rural+Urban,2022,May,154.1,217,162.4,164.9,202.4,171,174.9,164.7,119.7,184.9,167.1,182.5,173.3,194.1,175.6,168.4,174.6,167.5,174.6,165.2,174.8,163,165.1,167.9,168.4,167.5,171.7
Rural+Urban,2022,June,155,219.4,170.8,165.8,200.9,169.7,182.3,164.3,119.9,187.1,167.9,183.9,174.9,194.3,177.1,169.9,176,166.8,176,166.4,175.4,161.1,165.8,169,169.4,167.5,172.6
Rural+Urban,2022,July,156.5,213,175.2,166.6,195.8,174.2,182.1,164.3,120,190,168.4,185.2,175,194.6,178.3,171.3,177.3,167.8,179.6,167.4,176.1,161.6,166.3,171.4,169.7,168.4,173.4
